"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\publishing_year_selector.dart", "Dart", 78, 0, 4, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_create\views\textfield_title.dart", "Dart", 26, 0, 4, 30
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_bloc.dart", "Dart", 39, 0, 10, 49
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_event.dart", "Dart", 22, 0, 7, 29
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\bloc\product_detail_state.dart", "Dart", 24, 0, 5, 29
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\photo_gallery_view.dart", "Dart", 73, 0, 8, 81
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\product_detail_page.dart", "Dart", -83, 0, 3, -80
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\image_product.dart", "Dart", 76, 0, 6, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\orther_information_product.dart", "Dart", 134, 0, 7, 141
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\overview_product.dart", "Dart", 162, 0, 2, 164
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\row_data.dart", "Dart", 18, 0, 1, 19
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\views\update_orther_infor_dialog.dart", "Dart", 239, 0, 12, 251
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_bloc.dart", "Dart", 100, 0, 20, 120
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_event.dart", "Dart", 35, 0, 18, 53
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\bloc\product_edit_overview_state.dart", "Dart", 74, 0, 7, 81
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\edit_overview_product_page.dart", "Dart", 304, 0, 16, 320
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\booktype_selector.dart", "Dart", 79, 0, 3, 82
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\confirm_update_button.dart", "Dart", 95, 0, 7, 102
"d:\Flutter Application\book_store_manager\lib\screens\product_edit_overview\views\year_selector_textfield.dart", "Dart", 77, 0, 9, 86
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\order_cancelled_item.dart", "Dart", -162, -6, -6, -174
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\order_completed_item.dart", "Dart", -162, -6, -6, -174
"d:\Flutter Application\book_store_manager\lib\themes\colors.dart", "Dart", 2, 0, 1, 3
"d:\Flutter Application\book_store_manager\lib\themes\texts.dart", "Dart", -1, 0, 0, -1
"d:\Flutter Application\book_store_manager\lib\utils\date_time.dart", "Dart", 16, 0, 4, 20
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\abstract_order_item.dart", "Dart", 23, 0, 0, 23
"d:\Flutter Application\book_store_manager\lib\widgets\dialogs\dialog_loading.dart", "Dart", -28, 0, -3, -31
"d:\Flutter Application\book_store_manager\lib\widgets\dialogs\loading_dialog.dart", "Dart", 28, 0, 3, 31
"d:\Flutter Application\book_store_manager\lib\widgets\dialogs\pick_image_option_dialog.dart", "Dart", 67, 18, 4, 89
"d:\Flutter Application\book_store_manager\lib\widgets\empty_import_list.dart", "Dart", 34, 0, 3, 37
"d:\Flutter Application\book_store_manager\lib\widgets\month_picker.dart", "Dart", 99, 0, 9, 108
"d:\Flutter Application\book_store_manager\lib\widgets\year_picker.dart", "Dart", 103, 0, 10, 113
"Total", "-", 4517, -1, 481, 4997
