"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\constant\app_icons.dart", "Dart", 3, 0, 0, 3
"d:\Flutter Application\book_store_manager\lib\constant\app_images.dart", "Dart", 2, 0, 0, 2
"d:\Flutter Application\book_store_manager\lib\constant\data_collections.dart", "Dart", 3, 0, 0, 3
"d:\Flutter Application\book_store_manager\lib\constant\enum.dart", "Dart", 3, 0, 3, 6
"d:\Flutter Application\book_store_manager\lib\extensions\datetime_ex.dart", "Dart", 49, 0, 7, 56
"d:\Flutter Application\book_store_manager\lib\extensions\string_ex.dart", "Dart", 0, 0, 2, 2
"d:\Flutter Application\book_store_manager\lib\main.dart", "Dart", 8, 0, 0, 8
"d:\Flutter Application\book_store_manager\lib\models\feedback_model.dart", "Dart", 49, 0, 4, 53
"d:\Flutter Application\book_store_manager\lib\models\notification_model.dart", "Dart", 37, 0, 4, 41
"d:\Flutter Application\book_store_manager\lib\models\order_product_model.dart", "Dart", 3, 0, 0, 3
"d:\Flutter Application\book_store_manager\lib\models\user_model.dart", "Dart", 13, 0, 3, 16
"d:\Flutter Application\book_store_manager\lib\repositories\feedback_repository.dart", "Dart", 30, 0, 11, 41
"d:\Flutter Application\book_store_manager\lib\repositories\notification_repository.dart", "Dart", 28, 0, 10, 38
"d:\Flutter Application\book_store_manager\lib\repositories\order_repository.dart", "Dart", 6, 0, 2, 8
"d:\Flutter Application\book_store_manager\lib\repositories\repository.dart", "Dart", 6, 0, 0, 6
"d:\Flutter Application\book_store_manager\lib\repositories\services\feedback_service.dart", "Dart", 102, 0, 23, 125
"d:\Flutter Application\book_store_manager\lib\repositories\services\notification_service.dart", "Dart", 77, 0, 11, 88
"d:\Flutter Application\book_store_manager\lib\repositories\services\order_service.dart", "Dart", 38, 0, 8, 46
"d:\Flutter Application\book_store_manager\lib\repositories\services\user_service.dart", "Dart", 7, 0, 2, 9
"d:\Flutter Application\book_store_manager\lib\repositories\user_repository.dart", "Dart", 3, 0, 1, 4
"d:\Flutter Application\book_store_manager\lib\screens\feedback_hide\bloc\feedback_hide_bloc.dart", "Dart", 32, 0, 9, 41
"d:\Flutter Application\book_store_manager\lib\screens\feedback_hide\bloc\feedback_hide_event.dart", "Dart", 11, 0, 6, 17
"d:\Flutter Application\book_store_manager\lib\screens\feedback_hide\bloc\feedback_hide_state.dart", "Dart", 20, 0, 5, 25
"d:\Flutter Application\book_store_manager\lib\screens\feedback_hide\feedback_hide_page.dart", "Dart", 68, 0, 6, 74
"d:\Flutter Application\book_store_manager\lib\screens\feedback_hide\views\feedback_hide_item.dart", "Dart", 158, 1, 4, 163
"d:\Flutter Application\book_store_manager\lib\screens\home\home_page.dart", "Dart", 12, 7, 0, 19
"d:\Flutter Application\book_store_manager\lib\screens\home\views\home_tile.dart", "Dart", 2, 0, 0, 2
"d:\Flutter Application\book_store_manager\lib\screens\home\views\statistic_item.dart", "Dart", -66, 0, -4, -70
"d:\Flutter Application\book_store_manager\lib\screens\import_product\import_product_page.dart", "Dart", 2, 0, 0, 2
"d:\Flutter Application\book_store_manager\lib\screens\import_product\views\import_history_item.dart", "Dart", 3, 0, 0, 3
"d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\bloc\feedback_bloc.dart", "Dart", 102, 0, 20, 122
"d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\bloc\feedback_event.dart", "Dart", 29, 0, 13, 42
"d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\bloc\feedback_state.dart", "Dart", 24, 0, 5, 29
"d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\manage_feedback_page.dart", "Dart", 167, 0, 5, 172
"d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\views\feedback_item.dart", "Dart", 244, 0, 5, 249
"d:\Flutter Application\book_store_manager\lib\screens\manage_feedback\views\reply_bottom_sheet.dart", "Dart", 200, 0, 8, 208
"d:\Flutter Application\book_store_manager\lib\screens\manage_order\manage_order_page.dart", "Dart", 4, 1, 0, 5
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\product_list.dart", "Dart", -3, 0, 0, -3
"d:\Flutter Application\book_store_manager\lib\screens\notification\bloc\notification_bloc.dart", "Dart", 109, 0, 22, 131
"d:\Flutter Application\book_store_manager\lib\screens\notification\bloc\notification_event.dart", "Dart", 21, 0, 11, 32
"d:\Flutter Application\book_store_manager\lib\screens\notification\bloc\notification_state.dart", "Dart", 28, 0, 5, 33
"d:\Flutter Application\book_store_manager\lib\screens\notification\notification_page.dart", "Dart", 130, 0, 6, 136
"d:\Flutter Application\book_store_manager\lib\screens\notification\views\empty_page.dart", "Dart", 34, 0, 4, 38
"d:\Flutter Application\book_store_manager\lib\screens\notification\views\notification_item.dart", "Dart", 195, 0, 7, 202
"d:\Flutter Application\book_store_manager\lib\screens\notification\views\notifications_list.dart", "Dart", 76, 0, 14, 90
"d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_bloc.dart", "Dart", 6, 7, 3, 16
"d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_event.dart", "Dart", 0, 1, 0, 1
"d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_state.dart", "Dart", 4, 0, 0, 4
"d:\Flutter Application\book_store_manager\lib\screens\order_details\order_details_page.dart", "Dart", -25, 1, 1, -23
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\overview_information.dart", "Dart", 88, 0, 4, 92
"d:\Flutter Application\book_store_manager\lib\screens\order_done\order_done_page.dart", "Dart", 9, 0, 0, 9
"d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\order_delivering_page.dart", "Dart", -3, 0, 0, -3
"d:\Flutter Application\book_store_manager\lib\screens\order_status\prepared\order_prepared_page.dart", "Dart", -3, 0, 0, -3
"d:\Flutter Application\book_store_manager\lib\screens\order_status\preparing\order_preparing_page.dart", "Dart", -3, 0, 0, -3
"d:\Flutter Application\book_store_manager\lib\screens\product_detail\product_detail_page.dart", "Dart", -19, 0, 0, -19
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\bloc\product_feedback_bloc.dart", "Dart", 75, 0, 19, 94
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\bloc\product_feedback_event.dart", "Dart", 18, 0, 9, 27
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\bloc\product_feedback_state.dart", "Dart", 38, 0, 5, 43
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\product_feedback_page.dart", "Dart", 165, 0, 9, 174
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\views\product_feedback_item.dart", "Dart", 140, 0, 4, 144
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\views\product_information.dart", "Dart", 37, 0, 4, 41
"d:\Flutter Application\book_store_manager\lib\screens\product_feedback\views\product_information_loading.dart", "Dart", 55, 0, 3, 58
"d:\Flutter Application\book_store_manager\lib\screens\statistic\bloc\statistic_bloc.dart", "Dart", 28, 0, 9, 37
"d:\Flutter Application\book_store_manager\lib\screens\statistic\bloc\statistic_event.dart", "Dart", 10, 0, 5, 15
"d:\Flutter Application\book_store_manager\lib\screens\statistic\bloc\statistic_state.dart", "Dart", 28, 0, 5, 33
"d:\Flutter Application\book_store_manager\lib\screens\statistic\statistic_page.dart", "Dart", 338, 0, 10, 348
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\custom_cell.dart", "Dart", 28, 0, 4, 32
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\indicator.dart", "Dart", 41, 0, 4, 45
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\month_selector.dart", "Dart", 72, 0, 5, 77
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\row_data.dart", "Dart", 38, 0, 4, 42
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\statistic_line_chart.dart", "Dart", 211, 0, 21, 232
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\statistic_pie_chart.dart", "Dart", 118, 0, 8, 126
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\statistic_table.dart", "Dart", 8, 0, 3, 11
"d:\Flutter Application\book_store_manager\lib\screens\user_details\user_details_page.dart", "Dart", 5, 0, 0, 5
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\user_order_history_page.dart", "Dart", 11, 0, 0, 11
"d:\Flutter Application\book_store_manager\lib\utils\date_time.dart", "Dart", 4, 0, 1, 5
"d:\Flutter Application\book_store_manager\lib\utils\enum_convert.dart", "Dart", 37, 0, 3, 40
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\abstract_order_item.dart", "Dart", 5, 0, 0, 5
"d:\Flutter Application\book_store_manager\lib\widgets\custom_app_bar.dart", "Dart", 3, 0, 0, 3
"d:\Flutter Application\book_store_manager\lib\widgets\dialogs\sales_dialog.dart", "Dart", 263, 0, 11, 274
"d:\Flutter Application\book_store_manager\lib\widgets\empty_feedback_list.dart", "Dart", 34, 0, 4, 38
"d:\Flutter Application\book_store_manager\lib\widgets\statistic_item.dart", "Dart", 66, 0, 4, 70
"Total", "-", 3999, 18, 404, 4421
